"rep","fold","Taxa","observed","predicted"
5,5,"PI 270907",91.9216771993511,91.9279897508308
5,5,"PI 290536",93.7106746878443,91.389388968891
5,5,"PI 290566",91.9247088400474,91.0685470977911
5,5,"PI 290620",19.1869186745998,41.0158379896093
5,5,"PI 295730",-11.8796500206539,-24.5698835844643
5,5,"PI 296558",9.08251356251902,-0.863144828407602
5,5,"PI 298854",89.0901845491034,87.966226185816
5,5,"PI 313129",14.9161544517895,31.229727116158
5,5,"PI 339960",-19.139805353552,-26.0897883865777
5,5,"PI 356004",-52.9949451982828,-51.7577408784298
5,5,"PI 399581",6.17677612805178,-5.03921773751712
5,5,"PI 442768",23.9078614520448,41.168834821498
5,5,"PI 476596",-0.54667913283332,-18.3711043450042
5,5,"PI 476636",92.1309729640279,91.8243427793229
5,5,"PI 482189",-13.9503326174076,-27.1351576227754
5,5,"PI 493729",-21.4277665654921,-33.6562548995008
5,5,"PI 502111",-8.61913127345229,-11.2821396161
6,1,"PI 196622",94.484362479052,94.336524508902
6,1,"PI 200441",-17.4867363486021,-22.5830861916036
6,1,"PI 259851",96.1103353979561,93.3739575664547
6,1,"PI 268868",91.7512108457322,91.8308622474227
6,1,"PI 270907",91.9216771993511,92.0917666386551
6,1,"PI 288210",14.8949132937833,25.8218632376085
6,1,"PI 290560",-36.5730859340983,-38.8375500142271
6,1,"PI 319770",5.60792539732361,-32.427163655345
6,1,"PI 323268",84.9638228003057,86.5527056237961
6,1,"PI 331314",13.7523475204017,-14.1395423299375
6,1,"PI 337406",-15.5986954843422,-22.6698433390352
6,1,"PI 355268",83.5926065435547,81.212192695553
6,1,"PI 408743",-12.8417941895264,-16.7362438283679
6,1,"PI 493356",-19.7670824072696,-39.2105441890897
6,1,"PI 493547",-33.5078715622015,-47.0952308050932
6,1,"PI 493631",-25.0973116550801,-26.3089475123302
6,1,"PI 493717",-16.358090909818,-11.0222312373345
6,1,"PI 493729",-21.4277665654921,-39.7507449142096
6,1,"PI 493880",-23.636920533488,-40.8904642599639
6,1,"PI 497517",-19.5932911626775,-25.4387053991244
6,1,"PI 497639",-10.5806964808468,-11.1643797310348
6,2,"PI 155107",-33.0304284762533,-29.7160985766545
6,2,"PI 162857",87.8557386974058,85.8543058609647
6,2,"PI 268806",90.8657621252714,92.0304987249044
6,2,"PI 268996",-18.7396999989541,-25.3651674190057
6,2,"PI 270998",-1.28088253738996,-7.56378665585065
6,2,"PI 290566",91.9247088400474,91.3140013264244
6,2,"PI 295250",93.8116442119282,92.9914098242106
6,2,"PI 296558",9.08251356251902,0.726151361417522
6,2,"PI 313129",14.9161544517895,34.9655520703636
6,2,"PI 339960",-19.139805353552,-25.705387285255
6,2,"PI 343384",3.09862563909943,-7.58235804579396
6,2,"PI 355271",59.3113990135345,80.2926742846368
6,2,"PI 370331",26.0050898783708,49.9691255818844
6,2,"PI 372271",95.027229009404,93.6833071223315
6,2,"PI 461427",-52.8331073584546,-53.9047170092197
6,2,"PI 471954",-22.923447881111,-64.7429978826481
6,2,"PI 476025",-11.1103233953259,-11.6356879875916
6,2,"PI 493938",-15.6332847605169,-32.6140790893318
6,2,"PI 502111",-8.61913127345229,-11.7659070197231
6,2,"PI 502120",7.61631474631251,1.70706766141372
6,2,"PI 504614",-34.6991415397245,-29.8160599359914
6,3,"PI 196635",91.8808532061868,91.9231928104319
6,3,"PI 240560",-39.1675881289274,-35.3520023462628
6,3,"PI 270786",90.8506593776961,92.465979530267
6,3,"PI 274193",24.0338362276932,25.8137676158461
6,3,"PI 290536",93.7106746878443,91.1050184650244
6,3,"PI 295309",94.3003649781333,92.7844216110935
6,3,"PI 325943",-55.6161781982585,-50.3390976316272
6,3,"PI 331297",-0.797372907023051,18.7186803811513
6,3,"PI 337293",-33.1303500962705,-34.4156589463143
6,3,"PI 343398",20.9688595511485,51.7966627261972
6,3,"PI 461434",-20.275057381311,-20.8971595441707
6,3,"PI 471952",-14.2039684045055,-51.7609670264743
6,3,"PI 475863",-21.7910590813281,-27.4772034791859
6,3,"PI 476432",-4.38686752313152,-1.98469410487342
6,3,"PI 476596",-0.54667913283332,-10.3579898843593
6,3,"PI 478850",-41.4131499911608,-38.6958187490684
6,3,"PI 482120",-33.3095785090718,-36.6538295077543
6,3,"PI 493581",-52.467277874188,-44.320664183939
6,3,"PI 494795",8.2364494572083,4.94259330885012
6,3,"PI 497395",32.1872334414205,28.9758458385872
6,3,"PI 502040",13.1754427217406,36.3290174898464
6,4,"PI 158854",93.3876253818025,93.8038111240714
6,4,"PI 159786",91.9795136139364,91.8902577360519
6,4,"PI 162655",-47.4045097307795,-29.3138351708827
6,4,"PI 259658",100.707784632293,91.8976805857317
6,4,"PI 268586",-14.728322957987,-9.12739515074598
6,4,"PI 268755",-34.6790842345355,-31.6393568825465
6,4,"PI 271019",-5.6110404254436,5.8603260441317
6,4,"PI 288146",-46.6743049666706,-29.9441648262014
6,4,"PI 298854",89.0901845491034,87.7143024493373
6,4,"PI 337399",-48.891681182551,-29.8819060717679
6,4,"PI 356004",-52.9949451982828,-51.336624895199
6,4,"PI 371521",30.2241303065118,62.3949639541877
6,4,"PI 399581",6.17677612805178,-4.90258361345703
6,4,"PI 407667",-44.1385440155654,-31.9779475115766
6,4,"PI 442768",23.9078614520448,41.9867447110642
6,4,"PI 468271",20.3866795249287,20.1299192668764
6,4,"PI 475918",-23.2701323113072,-21.7989179741917
6,4,"PI 493693",-19.7180182573206,-13.8154448346277
6,4,"PI 494018",-15.4848038593226,-8.97563520983182
6,4,"PI 496448",94.7367033580305,94.2176088547523
6,4,"PI 497318",31.7422567795936,31.3264341106728
6,5,"PI 157542",76.5152772600273,80.7456261335251
6,5,"PI 259617",-49.9702615314471,-53.7849920067681
6,5,"PI 259836",-13.4113846071158,-28.4230106800423
6,5,"PI 262038",-45.3195725080565,-50.5090635907976
6,5,"PI 270905",23.0458444858713,46.9533731537256
6,5,"PI 290620",19.1869186745998,38.8003414732151
6,5,"PI 292950",93.5519341824262,93.5481497720303
6,5,"PI 295730",-11.8796500206539,-29.6962422272567
6,5,"PI 296550",7.58476294109594,17.82144743055
6,5,"PI 319768",-3.0947565821953,10.791226444284
6,5,"PI 372305",18.3010174031283,62.0546187873393
6,5,"PI 403813",-24.2800736050239,-23.0917226395072
6,5,"PI 429420",3.82761765604124,-13.0049006312228
6,5,"PI 433347",-8.40499945385635,3.4556884773046
6,5,"PI 475931",7.58481242635805,8.79735385228868
6,5,"PI 476636",92.1309729640279,91.8244269205774
6,5,"PI 481795",93.6606495311802,94.236576599101
6,5,"PI 482189",-13.9503326174076,-29.9921314853988
6,5,"PI 494034",-13.8212734354372,-39.2805001948407
6,5,"PI 496401",21.2938516538893,49.3162698356446
7,1,"PI 157542",76.5152772600273,80.8181003532361
7,1,"PI 162857",87.8557386974058,85.3613442821663
7,1,"PI 196622",94.484362479052,94.059816904132
7,1,"PI 259617",-49.9702615314471,-53.9762208213275
7,1,"PI 290560",-36.5730859340983,-38.5620216800798
7,1,"PI 298854",89.0901845491034,89.5832231367173
